427,1,5,1,5,"('8200', '8214', '8275', '8210', '8232')","('8300', '8321', '8347')","(1039, 2031, 3504, 1082, 3117, 1052)",3364,"('4', '11')"
112,3,2,1,166,"('8200', '8230', '8226', '8210', '8236')","('8100', '8139', '8135')","(3198, 3020, 3802, 1056, 1056, 0)",3363,"('4', '3')"
2,4,3,1,12,"('8000', '8010', '9111', '9104', '8299')","('8300', '8304', '8410')","(1400, 2031, 3067, 3044, 1033, 3047)",3364,"('4', '11')"
429,3,7,3,181,"('8100', '9923', '8139', '8138', '8135')","('8000', '9101', '9104')","(3006, 3153, 3086, 1042, 1042, 1055)",3363,"('4', '7')"
412,4,7,2,25,"('8400', '8439', '8446', '8473', '8451')","('8300', '8313', '8347')","(3117, 3857, 0, 3107, 3024, 2424)",3364,"('4', '14')"
57,1,2,1,161,"('8400', '8437', '8446', '8429', '8451')","('8200', '8226', '8210')","(3068, 3047, 3067, 0, 0, 1056)",3340,"('4', '12')"
517,9,6,3,164,"('8000', '8010', '9111', '9105', '8299')","('8300', '8345', '8352')","(1058, 3285, 3152, 3111, 3157, 0)",3363,"('4', '12')"
235,3,6,3,17,"('8300', '8351', '8304', '8345', '8410')","('8000', '8009', '9103')","(3864, 3147, 2422, 1033, 3179, 0)",3364,"('4', '14')"
22,0,7,5,168,"('8000', '8008', '9111', '9103', '8014')","('8200', '8236', '8275')","(1055, 3153, 3006, 3085, 2055, 0)",3363,"('4', '7')"
24,9,5,3,170,"('8000', '8005', '9111', '9105', '8014')","('8300', '8304', '8352')","(2033, 3153, 3111, 3078, 3052, 1037)",3340,"('4', '12')"
2,6,8,1,55,"('8000', '8010', '9111', '9104', '8014')","('8200', '8275', '8232')","(1413, 3194, 0, 3047, 3156, 0)",3364,"('11', '4')"
84,4,3,7,174,"('8000', '8010', '8009', '9105', '8014')","('8100', '8139', '8135')","(3146, 3157, 2031, 1056, 0, 3020)",3340,"('12', '4')"
9,5,6,8,28,"('8100', '8112', '8126', '8138', '8106')","('8300', '8304', '8347')","(1402, 3165, 3020, 1052, 1026, 0)",3330,"('11', '4')"
412,1,9,3,26,"('8400', '8439', '8446', '8473', '8451')","('8300', '8313', '8345')","(3009, 2423, 2055, 3857, 3114, 3107)",3364,"('4', '14')"
429,5,4,3,168,"('8100', '9923', '8139', '8138', '8135')","('8000', '9101', '9104')","(1054, 3153, 3085, 1053, 1036, 3006)",3363,"('7', '4')"
69,0,2,6,169,"('8000', '8010', '8009', '9105', '8014')","('8100', '8139', '8135')","(3165, 0, 3040, 0, 0, 0)",3363,"('12', '4')"
3,5,10,3,103,"('8400', '8439', '8401', '8473', '8242')","('8200', '8275', '8233')","(3020, 2421, 3152, 3165, 0, 1056)",3363,"('12', '4')"
875,7,4,3,141,"('8000', '8010', '9111', '9103', '8299')","('8400', '8473', '8446')","(3153, 3078, 3047, 3105, 1036, 2055)",3363,"('4', '3')"
203,9,7,4,18,"('8000', '8010', '9111', '9103', '8299')","('8200', '8275', '8232')","(3071, 1412, 3105, 3006, 1053, 2055)",3513,"('4', '11')"
235,1,16,4,32,"('8400', '8437', '8446', '8473', '8451')","('8000', '8009', '8017')","(3864, 2055, 3022, 3009, 3134, 3123)",3364,"('7', '4')"
62,12,5,3,119,"('8000', '8010', '9111', '9104', '8299')","('8300', '8345', '8304')","(3078, 1055, 3812, 3053, 0, 3111)",3340,"('12', '4')"
429,3,1,8,137,"('8100', '9923', '8139', '8138', '8105')","('8000', '9104', '8014')","(1055, 3006, 3153, 1042, 1042, 1042)",3363,"('4', '7')"
76,6,6,9,11,"('8000', '8010', '9111', '9104', '8014')","('8100', '8138', '8135')","(1414, 1029, 3100, 1082, 1052, 3158)",3364,"('4', '11')"
79,1,3,6,20,"('8400', '8439', '8446', '8444', '8451')","('8300', '8316', '8347')","(3158, 3067, 3860, 2055, 3024, 3114)",3364,"('14', '4')"
23,2,3,8,125,"('8000', '8021', '9111', '9104', '8299')","('8300', '8304', '8347')","(3077, 2031, 3508, 3101, 0, 3158)",3340,"('12', '4')"
38,5,7,4,160,"('8000', '8010', '8009', '9105', '8014')","('8100', '8139', '8135')","(3020, 3027, 3003, 3108, 0, 0)",3340,"('4', '12')"
